Teacher_Name,schedule_id,course_id,teacher_id,day_of_week,start_time,end_time,room_number
"Robert Miller",1,101,501,Monday,09:00:00,10:30:00,"Room 101"
"Robert Miller",2,101,501,Wednesday,09:00:00,10:30:00,"Room 101"
"Lisa Davis",3,102,502,Tuesday,11:00:00,12:30:00,"Room 102"
"Lisa Davis",4,102,502,Thursday,11:00:00,12:30:00,"Room 102"
"James Wilson",5,103,503,Monday,13:00:00,14:30:00,"Room 103"
"James Wilson",6,103,503,Wednesday,13:00:00,14:30:00,"Room 103"
"James Wilson",13,107,503,Wednesday,11:00:00,12:30:00,"Room 107"
"James Wilson",14,107,503,Friday,11:00:00,12:30:00,"Room 107"
"Jennifer Taylor",17,109,504,Tuesday,13:00:00,14:30:00,"Room 109"
"Jennifer Taylor",18,109,504,Friday,13:00:00,14:30:00,"Room 109"
"Thomas Anderson",9,105,505,Monday,14:00:00,15:30:00,"Room 105"
"Thomas Anderson",10,105,505,Thursday,14:00:00,15:30:00,"Room 105"
"Patricia Jackson",15,108,506,Monday,10:00:00,11:30:00,"Room 108"
"Patricia Jackson",16,108,506,Thursday,10:00:00,11:30:00,"Room 108"
"Richard White",11,106,507,Tuesday,08:00:00,09:30:00,"Room 106"
"Richard White",12,106,507,Friday,08:00:00,09:30:00,"Room 106"
"Susan Harris",7,104,508,Tuesday,10:00:00,11:30:00,"Room 104"
"Susan Harris",8,104,508,Friday,10:00:00,11:30:00,"Room 104"
"Daniel Martin",19,110,509,Wednesday,15:00:00,16:30:00,Gym
"Daniel Martin",20,110,509,Friday,15:00:00,16:30:00,Gym
