Student_Name,course_name
"Andrew Taylor","Computer Science"
"Andrew Taylor",Chemistry
"Ava Thomas","English Literature"
"Ava Thomas",History
"Daniel Martinez",Physics
"Daniel Martinez","Computer Science"
"David Jones",Mathematics
"David Jones","Physical Education"
"Emily Johnson","English Literature"
"Emily Johnson",History
"Ethan Rodriguez",Chemistry
"Ethan Rodriguez",Economics
"Isabella Moore",Biology
"Isabella Moore",Economics
"James Jackson",Art
"James Jackson","Physical Education"
"Jessica Garcia","English Literature"
"Jessica Garcia",Art
"John Smith",Mathematics
"John Smith",Physics
"Matthew Anderson",Mathematics
"Matthew Anderson",Physics
"Michael Williams","Computer Science"
"Michael Williams",Chemistry
"Olivia Davis",History
"Olivia Davis",Biology
"Sarah Brown",Biology
"Sarah Brown",Economics
"Sophia Wilson",Art
"Sophia Wilson","Physical Education"
