Teacher_Name,course_name
"Daniel Martin","Physical Education"
"Daniel Martin","Physical Education"
"James Wilson",Physics
"James Wilson",Physics
"James Wilson",Chemistry
"James Wilson",Chemistry
"Jennifer Taylor",Art
"Jennifer Taylor",Art
"Lisa Davis","English Literature"
"Lisa Davis","English Literature"
"Nancy Thompson",NULL
"Patricia Jackson",Economics
"Patricia Jackson",Economics
"Richard White",Biology
"Richard White",Biology
"Robert Miller",Mathematics
"Robert Miller",Mathematics
"Susan Harris",History
"Susan Harris",History
"Thomas Anderson","Computer Science"
"Thomas Anderson","Computer Science"
