student_id,first_name,last_name,date_of_birth,gender,address,enrollment_date,email,phone,guardian_name
1011,Matthew,Anderson,2004-10-27,Male,"963 Pine Ave, Lexington",2023-09-01,matthew.a@school.edu,555-1011,"Richard Anderson"
1004,Sarah,Brown,2007-01-18,Female,"321 Elm St, Boston",2023-09-01,sarah.b@school.edu,555-1004,"Lisa Brown"
1008,Olivia,Davis,2007-02-14,Female,"753 Walnut Ave, Waltham",2023-09-01,olivia.d@school.edu,555-1008,"Jennifer Davis"
1006,Jessica,Garcia,2006-04-22,Female,"987 Cedar Ln, Newton",2023-09-01,jessica.g@school.edu,555-1006,"Maria Garcia"
1017,Benjamin,Harris,2005-02-28,Male,"753 Spruce Dr, Natick",2023-09-01,benjamin.h@school.edu,555-1017,"Steven Harris"
1015,James,Jackson,2004-09-24,Male,"852 Birch Ave, Wellesley",2023-09-01,james.j@school.edu,555-1015,"Kevin Jackson"
1002,Emily,Johnson,2006-07-25,Female,"456 Oak Ave, Cambridge",2023-09-01,emily.j@school.edu,555-1002,"Susan Johnson"
1005,David,Jones,2005-09-05,Male,"654 Maple Dr, Brookline",2023-09-01,david.j@school.edu,555-1005,"Thomas Jones"
1019,Alexander,Lee,2004-07-06,Male,"963 Elm Ave, Milton",2023-09-01,NULL,555-1019,"Edward Lee"
1018,Mia,Martin,2006-11-12,Female,"426 Pine Blvd, Dedham",2023-09-01,mia.m@school.edu,555-1018,"Amy Martin"
1007,Daniel,Martinez,2004-12-08,Male,"159 Birch St, Quincy",2023-09-01,NULL,555-1007,"Carlos Martinez"
1014,Isabella,Moore,2006-01-31,Female,"369 Cedar Rd, Needham",2023-09-01,isabella.m@school.edu,555-1014,"Karen Moore"
1009,Ethan,Rodriguez,2005-08-03,Male,"852 Spruce Blvd, Medford",2023-09-01,ethan.r@school.edu,555-1009,"Juan Rodriguez"
1001,John,Smith,2005-03-12,Male,"123 Main St, Boston",2023-09-01,john.smith@school.edu,555-1001,"Robert Smith"
1013,Andrew,Taylor,2005-06-15,Male,"258 Maple Ln, Belmont",2023-09-01,NULL,555-1013,"Paul Taylor"
1012,Ava,Thomas,2007-03-09,Female,"741 Elm Dr, Watertown",2023-09-01,ava.t@school.edu,555-1012,"Nancy Thomas"
1020,Amelia,Thompson,2007-05-20,Female,"741 Oak Ln, Braintree",2023-09-01,amelia.t@school.edu,555-1020,"Rebecca Thompson"
1016,Charlotte,White,2007-04-17,Female,"147 Walnut St, Framingham",2023-09-01,NULL,555-1016,"Laura White"
1003,Michael,Williams,2004-11-30,Male,"789 Pine Rd, Somerville",2023-09-01,NULL,555-1003,"James Williams"
1010,Sophia,Wilson,2006-05-19,Female,"426 Oak St, Arlington",2023-09-01,NULL,555-1010,"Patricia Wilson"
